date_call_up,month_matches,matches,num_matches,competition,national_team,coach,player_name,birth_date,player_id,player_main_position,player_first_alternative_position,player_second_alternative_position,club,minutes_played_club,minutes_played_national_team,avg_score_club,avg_score_national_team,league_tier,games_starting_xi,starter_rate,original_call_up_list,out_injury,out_personal_reason,replacement,is_currently_injured,estimated_recovery_days
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Mycael,,,Goalkeeper,,,Athletico-PR,,,,,,0,0,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Ederson,,,Goalkeeper,,,Manchester City,,,,,,0,0,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Weverton,,,Goalkeeper,,,Palmeiras,,,,,,1,1,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Arthur,,,Full-back,,,América-MG,,,,,,0,0,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Emerson Royal,,,Full-back,,,Tottenham,,,,,,1,1,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Alex Telles,,,Full-back,,,Sevilla,,,,,,1,1,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Renan Lodi,,,Full-back,,,Nottingham Forest,,,,,,0,0,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Ibañez,,,Centre-back,,,Roma,,,,,,1,1,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Éder Militão,,,Centre-back,Full-back,,Real Madrid,,,,,,1,1,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Marquinhos,,,Centre-back,,,PSG,,,,,,0,0,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Robert Renan,,,Centre-back,,,Zenit,,,,,,0,0,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,André,,,Midfielder,,,Fluminense,,,,,,0,0,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Andrey Santos,,,Midfielder,,,Vasco da Gama,,,,,,1,1,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Casemiro,,,Midfielder,,,Manchester United,,,,,,1,1,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,João Gomes,,,Midfielder,,,Wolverhampton,,,,,,0,0,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Lucas Paquetá,,,Midfielder,,,West Ham,,,,,,1,1,x,,,,,
3/3/2023,March 2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Raphael Veiga,,,Midfielder,,,Palmeiras,,,,,,0,0,x,,,,,
