date_call_up,month_matches,matches,num_matches,competition,national_team,coach,player_name,birth_date,player_id,player_main_position,player_first_alternative_position,player_second_alternative_position,club,minutes_played_club,minutes_played_national_team,avg_score_club,avg_score_national_team,league_tier,games_starting_xi,starter_rate,original_call_up_list,out_injury,out_personal_reason,replacement,is_currently_injured,estimated_recovery_days,sofascore_id,games_club,games_nt
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Mycael,12/03/2004,Mycael2004,Goalkeeper,,,Athletico-PR,630,0,731,,,0,0,x,,,,,,1128850,7,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Ederson,17/08/1993,Ederson1993,Goalkeeper,,,Manchester City,1125,0,648,,,0,0,x,,,,,,254491,13,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Weverton,13/12/1987,Weverton1987,Goalkeeper,,,Palmeiras,990,0,754,,,1,10,x,,,,,,243529,11,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Arthur,17/03/2003,Arthur2003,Full-back,,,América-MG,638,0,709,,,0,0,x,,,,,,1174761,10,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Emerson Royal,14/01/1999,EmersonRoyal1999,Full-back,,,Tottenham,674,0,694,,,1,10,x,,,,,,856123,12,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Alex Telles,15/12/1992,AlexTelles1992,Full-back,,,Sevilla,194,0,673,,,1,10,x,,,,,,312110,3,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Renan Lodi,08/04/1998,RenanLodi1998,Full-back,,,Nottingham Forest,980,0,675,,,0,0,x,,,,,,851150,12,0
5/26/2025,01/06/2025,EQU x BRA / BRA x PAR,2,world cup qualifiers,Brazil,Carlo Ancelotti,Alexsandro Ribeiro,09/08/1999,AlexsandroRibeiro1999,Centre-back,,,Lille,630,180,713,73,,2,10,x,,,,,,1049775,7,2
8/25/2025,01/09/2025,BRA x CHI / BOL x BRA,2,world cup qualifiers,Brazil,Carlo Ancelotti,Alexsandro Ribeiro,09/08/1999,AlexsandroRibeiro1999,Centre-back,,,Lille,225,90,677,64,,1,5,x,,,,,,1049775,7,1
9/23/2023,01/10/2023,BRA x VEN / URU x BRA,2,world cup qualifiers,Brazil,Fernando Diniz,Bremer,18/03/1997,Bremer1997,Centre-back,,,Juventus,180,0,685,,,0,0,x,,,,,,885197,2,0
11/6/2023,01/11/2023,COL x BRA / BRA x ARG,2,world cup qualifiers,Brazil,Fernando Diniz,Bremer,18/03/1997,Bremer1997,Centre-back,,,Juventus,270,0,75,,,0,0,x,,,,,,885197,3,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,André,16/07/2001,André2001,Midfielder,,,Fluminense,482,0,725,,,0,0,x,,,,,,1035996,6,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Andrey Santos,03/05/2004,AndreySantos2004,Midfielder,,,Vasco da Gama,681,0,744,,,1,10,x,,,,,,1105779,8,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Casemiro,23/02/1992,Casemiro1992,Midfielder,,,Manchester United,1268,0,746,,,1,10,x,,,,,,122951,16,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,João Gomes,12/02/2001,JoãoGomes2001,Midfielder,,,Wolverhampton,66,0,68,,,0,0,x,,,,,,1015267,3,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Lucas Paquetá,27/08/1997,LucasPaquetá1997,Midfielder,,,West Ham,761,0,687,,,1,10,x,,,,,,839981,10,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Raphael Veiga,19/06/1995,RaphaelVeiga1995,Midfielder,,,Palmeiras,778,0,769,,,0,0,x,,,,,,840020,10,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Antony,24/02/2000,Antony2000,Forward,,,Manchester United,1006,0,681,,,0,0,x,,,,,,958380,15,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Vitor Roque,28/02/2005,VitorRoque2005,Forward,,,Athletico-PR,688,0,718,,,0,0,x,,,,,,1150391,9,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Richarlison,10/05/1997,Richarlison1997,Forward,,,Tottenham,302,0,662,,,0,0,x,,,,,,840217,8,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Rodrygo,09/01/2001,Rodrygo2001,Forward,,,Real Madrid,998,0,705,,,1,10,x,,,,,,910536,17,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Rony,11/05/1995,Rony1995,Forward,,,Palmeiras,838,0,701,,,1,10,x,,,,,,835260,10,0
3/3/2023,01/03/2023,MAR x BRA,1,friendly,Brazil,Ramon Menezes,Vinícius Júnior,12/07/2000,ViníciusJúnior2000,Forward,,,Real Madrid,1490,0,71,,,1,10,x,,,,,,868812,16,0
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Alisson,02/10/1992,Alisson1992,Goalkeeper,,,Liverpool,990,0,697,,,0,0,x,,,,,,243609,11,0
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Ederson,17/08/1993,Ederson1993,Goalkeeper,,,Manchester City,1080,180,698,605,,2,10,x,,,,,,254491,12,2
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Weverton,13/12/1987,Weverton1987,Goalkeeper,,,Palmeiras,1440,0,703,,,0,0,x,,,,,,243529,16,0
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Danilo,15/07/1991,Danilo1991,Full-back,Centre-back,,Juventus,831,0,701,,,2,10,x,,,,,,1064039,10,0
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Vanderson,21/06/2001,Vanderson2001,Full-back,,,Monaco,708,1,694,,,0,0,x,,,,,,1090694,8,1
5/28/2023,01/06/2023,BRA x GUI / BRA x SEN,2,friendly,Brazil,Ramon Menezes,Alex Telles,15/12/1992,AlexTelles1992,Full-back,,,Sevilla,409,16,652,65,,0,0,x,,,,,,312110,9,1
