player_name,birth_date,player_id,sofascore_id,sofascore_url,transfermarkt_id,transfermarkt_url,market_value_eur,nationality,status,,,,
Bruno Guimarães,1997-11-16,BrunoGuimarães1997,866469,https://www.sofascore.com/pt/football/player/bruno-guimaraes/866469,520624,https://www.transfermarkt.com.br/bruno-guimaraes/profil/spieler/520624,€ 75.00 mi.,Brasil,OK,,Bruno Guimarães,866469,https://www.sofascore.com/pt/football/player/bruno-guimaraes/866469
Vinícius Júnior,2000-07-12,ViníciusJúnior2000,868812,https://www.sofascore.com/pt/football/player/vinicius-junior/868812,371998,https://www.transfermarkt.com.br/vinicius-junior/profil/spieler/371998,€ 150.00 mi.,Brasil,OK,,Vinícius Júnior,868812,https://www.sofascore.com/pt/football/player/vinicius-junior/868812
Marquinhos,1994-05-14,Marquinhos1994,155995,https://www.sofascore.com/pt/football/player/marquinhos/155995,181767,https://www.transfermarkt.com.br/marquinhos/profil/spieler/181767,€ 30.00 mi.,Brasil,OK,,Marquinhos,155995,https://www.sofascore.com/pt/football/player/marquinhos/155995
Gabriel Magalhães,1997-12-19,GabrielMagalhães1997,869792,https://www.sofascore.com/pt/football/player/gabriel-magalhaes/869792,435338,https://www.transfermarkt.com.br/gabriel/profil/spieler/435338,€ 75.00 mi.,Brasil,OK,,Gabriel Magalhães,869792,https://www.sofascore.com/pt/football/player/gabriel-magalhaes/869792
Danilo,2001-04-29,Danilo2001,1064039,https://www.sofascore.com/pt/football/player/danilo-oliveira/1064039,808509,https://www.transfermarkt.com.br/danilo/profil/spieler/808509,€ 24.00 mi.,Brasil,OK,,Danilo,1064039,https://www.sofascore.com/pt/football/player/danilo-oliveira/1064039
Bento,1999-06-10,Bento1999,1016104,https://www.sofascore.com/pt/football/player/bento/1016104,691906,https://www.transfermarkt.com.br/bento/profil/spieler/691906,€ 9.00 mi.,Brasil,OK,,Bento,1016104,https://www.sofascore.com/pt/football/player/bento/1016104
Rodrygo,2001-01-09,Rodrygo2001,910536,https://www.sofascore.com/pt/football/player/rodrygo/910536,412363,https://www.transfermarkt.com.br/rodrygo/profil/spieler/412363,€ 50.00 mi.,Brasil,OK,,Rodrygo,910536,https://www.sofascore.com/pt/football/player/rodrygo/910536
Ederson,1993-08-17,Ederson1993,254491,https://www.sofascore.com/pt/football/player/ederson/254491,238223,https://www.transfermarkt.com.br/ederson/profil/spieler/238223,€ 13.00 mi.,Brasil,OK,,Ederson,254491,https://www.sofascore.com/pt/football/player/ederson/254491
Alisson,1992-10-02,Alisson1992,243609,https://www.sofascore.com/pt/football/player/alisson/243609,105470,https://www.transfermarkt.com.br/alisson/profil/spieler/105470,€ 17.00 mi.,Brasil,OK,,Alisson,243609,https://www.sofascore.com/pt/football/player/alisson/243609
Raphinha,1996-12-14,Raphinha1996,831005,https://www.sofascore.com/pt/football/player/raphinha/831005,411295,https://www.transfermarkt.com.br/raphinha/profil/spieler/411295,€ 80.00 mi.,Brasil,OK,,Raphinha,831005,https://www.sofascore.com/pt/football/player/raphinha/831005
Gabriel Martinelli,2001-06-18,GabrielMartinelli2001,922573,https://www.sofascore.com/pt/football/player/gabriel-martinelli/922573,655488,https://www.transfermarkt.com.br/gabriel-martinelli/profil/spieler/655488,€ 45.00 mi.,Brasil,OK,,Gabriel Martinelli,922573,https://www.sofascore.com/pt/football/player/gabriel-martinelli/922573
André,2001-07-16,André2001,1035996,https://www.sofascore.com/pt/football/player/andre/1035996,800176,https://www.transfermarkt.com.br/andre/profil/spieler/800176,€ 25.00 mi.,Brasil,OK,,André,1035996,https://www.sofascore.com/pt/football/player/andre/1035996
Casemiro,1992-02-23,Casemiro1992,122951,https://www.sofascore.com/pt/football/player/casemiro/122951,16306,https://www.transfermarkt.com.br/casemiro/profil/spieler/16306,€ 8.00 mi.,Brasil,OK,,Casemiro,122951,https://www.sofascore.com/pt/football/player/casemiro/122951
Lucas Paquetá,1997-08-27,LucasPaquetá1997,839981,https://www.sofascore.com/pt/football/player/lucas-paqueta/839981,444523,https://www.transfermarkt.com.br/lucas-paqueta/profil/spieler/444523,€ 35.00 mi.,Brasil,OK,,Lucas Paquetá,839981,https://www.sofascore.com/pt/football/player/lucas-paqueta/839981
Richarlison,1997-05-10,Richarlison1997,840217,https://www.sofascore.com/pt/football/player/richarlison/840217,378710,https://www.transfermarkt.com.br/richarlison/profil/spieler/378710,€ 28.00 mi.,Brasil,OK,,Richarlison,840217,https://www.sofascore.com/pt/football/player/richarlison/840217
Vanderson,2001-06-21,Vanderson2001,1090694,https://www.sofascore.com/pt/football/player/vanderson/1090694,789082,https://www.transfermarkt.com.br/vanderson/profil/spieler/789082,€ 20.00 mi.,Brasil,OK,,Vanderson,1090694,https://www.sofascore.com/pt/football/player/vanderson/1090694
Matheus Cunha,1999-05-27,MatheusCunha1999,886363,https://www.sofascore.com/pt/football/player/matheus-cunha/886363,517894,https://www.transfermarkt.com.br/matheus-cunha/profil/spieler/517894,€ 70.00 mi.,Brasil,OK,,Matheus Cunha,886363,https://www.sofascore.com/pt/football/player/matheus-cunha/886363
Éder Militão,1998-01-18,ÉderMilitão1998,822519,https://www.sofascore.com/pt/football/player/eder-militao/822519,401530,https://www.transfermarkt.com.br/eder-militao/profil/spieler/401530,€ 25.00 mi.,Brasil,OK,,Éder Militão,822519,https://www.sofascore.com/pt/football/player/eder-militao/822519
Endrick,2006-07-21,Endrick2006,1174937,https://www.sofascore.com/pt/football/player/endrick/1174937,971570,https://www.transfermarkt.com.br/endrick/profil/spieler/971570,€ 35.00 mi.,Brasil,OK,,Endrick,1174937,https://www.sofascore.com/pt/football/player/endrick/1174937
Luiz Henrique,2001-01-02,LuizHenrique2001,1035995,https://www.sofascore.com/pt/football/player/luiz-henrique/1035995,800175,https://www.transfermarkt.com.br/luiz-henrique/profil/spieler/800175,€ 24.00 mi.,Brasil,OK,,Luiz Henrique,1035995,https://www.sofascore.com/pt/football/player/luiz-henrique/1035995
Estêvão,2007-04-24,Estêvão2007,1597265,https://www.sofascore.com/pt/football/player/estevao/1597265,1056993,https://www.transfermarkt.com.br/estevao/profil/spieler/1056993,€ 80.00 mi.,Brasil,OK,,Estêvão,1597265,https://www.sofascore.com/pt/football/player/estevao/1597265
Bremer,1997-03-18,Bremer1997,885197,https://www.sofascore.com/pt/football/player/bremer/885197,516716,https://www.transfermarkt.com.br/bremer/profil/spieler/516716,€ 35.00 mi.,Brasil,OK,,Bremer,885197,https://www.sofascore.com/pt/football/player/bremer/885197
João Pedro,2001-09-26,JoãoPedro2001,975079,https://www.sofascore.com/pt/football/player/joao-pedro/975079,626724,https://www.transfermarkt.com.br/joao-pedro/profil/spieler/626724,€ 75.00 mi.,Brasil,OK,,João Pedro,975079,https://www.sofascore.com/pt/football/player/joao-pedro/975079
Joelinton,1996-08-14,Joelinton1996,560128,https://www.sofascore.com/pt/football/player/joelinton/560128,333241,https://www.transfermarkt.com.br/joelinton/profil/spieler/333241,€ 30.00 mi.,Brasil,OK,,Joelinton,560128,https://www.sofascore.com/pt/football/player/joelinton/560128
Gerson,1997-05-20,Gerson1997,611876,https://www.sofascore.com/pt/football/player/gerson/611876,341705,https://www.transfermarkt.com.br/gerson/profil/spieler/341705,€ 20.00 mi.,Brasil,OK,,Gerson,611876,https://www.sofascore.com/pt/football/player/gerson/611876
Lucas Beraldo,2003-11-24,LucasBeraldo2003,1108441,https://www.sofascore.com/pt/football/player/lucas-beraldo/1108441,872171,https://www.transfermarkt.com.br/lucas-beraldo/profil/spieler/872171,€ 20.00 mi.,Brasil,OK,,Lucas Beraldo,1108441,https://www.sofascore.com/pt/football/player/lucas-beraldo/1108441
Wesley,2003-09-06,Wesley2003,1134200,https://www.sofascore.com/pt/football/player/wesley-franca/1134200,964580,https://www.transfermarkt.com.br/wesley/profil/spieler/964580,€ 40.00 mi.,Brasil,OK,,Wesley,1134200,https://www.sofascore.com/pt/football/player/wesley-franca/1134200
Guilherme Arana,1997-04-14,GuilhermeArana1997,1127439,https://www.sofascore.com/pt/football/player/guilherme-arana/1127439,346766,https://www.transfermarkt.com.br/guilherme-arana/profil/spieler/346766,€ 7.00 mi.,Brasil,OK,,Guilherme Arana,1127439,https://www.sofascore.com/pt/football/player/guilherme-arana/1127439
Fabrício Bruno,1996-02-12,FabrícioBruno1996,840220,https://www.sofascore.com/pt/football/player/fabricio-bruno/840220,432773,https://www.transfermarkt.com.br/fabricio-bruno/profil/spieler/432773,€ 12.00 mi.,Brasil,OK,,Fabrício Bruno,840220,https://www.sofascore.com/pt/football/player/fabricio-bruno/840220
Hugo Souza,1999-01-31,HugoSouza1999,950454,https://www.sofascore.com/pt/football/player/hugo-souza/950454,574901,https://www.transfermarkt.com.br/hugo-souza/profil/spieler/574901,€ 11.00 mi.,Brasil,OK,,Hugo Souza,950454,https://www.sofascore.com/pt/football/player/hugo-souza/950454
Caio Henrique,1997-07-31,CaioHenrique1997,845170,https://www.sofascore.com/pt/football/player/caio-henrique/845170,420064,https://www.transfermarkt.com.br/caio-henrique/profil/spieler/420064,€ 15.00 mi.,Brasil,OK,,Caio Henrique,845170,https://www.sofascore.com/pt/football/player/caio-henrique/845170
Andreas Pereira,1996-01-01,AndreasPereira1996,285949,https://www.sofascore.com/pt/football/player/andreas-pereira/285949,203394,https://www.transfermarkt.com.br/andreas-pereira/profil/spieler/203394,€ 15.00 mi.,Brasil,OK,,Andreas Pereira,285949,https://www.sofascore.com/pt/football/player/andreas-pereira/285949
Savinho,2004-04-10,Savinho2004,1046795,https://www.sofascore.com/pt/football/player/savio/1046795,743591,https://www.transfermarkt.com.br/savinho/profil/spieler/743591,€ 40.00 mi.,Brasil,OK,,Savinho,1046795,https://www.sofascore.com/pt/football/player/savio/1046795
Andrey Santos,2004-05-03,AndreySantos2004,1105779,https://www.sofascore.com/pt/football/player/santos-andrey/1105779,743600,https://www.transfermarkt.com.br/andrey-santos/profil/spieler/743600,€ 45.00 mi.,Brasil,OK,,Andrey Santos,1105779,https://www.sofascore.com/pt/football/player/santos-andrey/1105779
Nino,1997-04-10,Nino1997,870788,https://www.sofascore.com/pt/football/player/nino/870788,520454,https://www.transfermarkt.com.br/nino/profil/spieler/520454,€ 10.00 mi.,Brasil,OK,,Nino,870788,https://www.sofascore.com/pt/football/player/nino/870788
