player_name,sofascore_id,month_matches,interval_start,interval_end,club_at_call,minutes_played_club,avg_score_club,games_club,minutes_played_national_team,avg_score_national_team,games_nt,status
Mycael,1128850,March 2023,2022-12-19,2023-03-03,Athletico-PR,630,7.31,7,0,,0,OK
Ederson,254491,March 2023,2022-12-19,2023-03-03,Manchester City,1125,6.48,13,0,,0,OK
Weverton,243529,March 2023,2022-12-19,2023-03-03,Palmeiras,990,7.54,11,0,,0,OK
Arthur,1174761,March 2023,2022-12-19,2023-03-03,América-MG,638,7.09,10,0,,0,OK
Emerson Royal,856123,March 2023,2022-12-19,2023-03-03,Tottenham,674,6.94,12,0,,0,OK
Alex Telles,312110,March 2023,2022-12-19,2023-03-03,Sevilla,194,6.73,3,0,,0,OK
Renan Lodi,851150,March 2023,2022-12-19,2023-03-03,Nottingham Forest,980,6.75,12,0,,0,OK
Ibañez,888949,March 2023,2022-12-19,2023-03-03,Roma,1080,7.13,14,0,,0,OK
Éder Militão,822519,March 2023,2022-12-19,2023-03-03,Real Madrid,1175,7.25,14,0,,0,OK
Marquinhos,155995,March 2023,2022-12-19,2023-03-03,PSG,1080,6.92,13,0,,0,OK
Robert Renan,1191278,March 2023,2022-12-19,2023-03-03,Zenit,752,7,9,0,,0,OK
André,1035996,March 2023,2022-12-19,2023-03-03,Fluminense,482,7.25,6,0,,0,OK
Andrey Santos,1105779,March 2023,2022-12-19,2023-03-03,Vasco da Gama,681,7.44,8,0,,0,OK
Casemiro,122951,March 2023,2022-12-19,2023-03-03,Manchester United,1268,7.46,16,0,,0,OK
João Gomes,1015267,March 2023,2022-12-19,2023-03-03,Wolverhampton,66,6.8,3,0,,0,OK
Lucas Paquetá,839981,March 2023,2022-12-19,2023-03-03,West Ham,761,6.87,10,0,,0,OK
Raphael Veiga,840020,March 2023,2022-12-19,2023-03-03,Palmeiras,778,7.69,10,0,,0,OK
Antony,958380,March 2023,2022-12-19,2023-03-03,Manchester United,1006,6.81,15,0,,0,OK
Vitor Roque,1150391,March 2023,2022-12-19,2023-03-03,Athletico-PR,688,7.18,9,0,,0,OK
Richarlison,840217,March 2023,2022-12-19,2023-03-03,Tottenham,302,6.62,8,0,,0,OK
Rodrygo,910536,March 2023,2022-12-19,2023-03-03,Real Madrid,998,7.05,17,0,,0,OK
Rony,835260,March 2023,2022-12-19,2023-03-03,Palmeiras,838,7.01,10,0,,0,OK
Vinícius Júnior,868812,March 2023,2022-12-19,2023-03-03,Real Madrid,1490,7.1,16,0,,0,OK
Alisson,243609,June 2023,2023-03-26,2023-05-28,Liverpool,990,6.97,11,0,,0,OK
Ederson,254491,June 2023,2023-03-26,2023-05-28,Manchester City,1080,6.98,12,180,6.05,2,OK
Weverton,243529,June 2023,2023-03-26,2023-05-28,Palmeiras,1440,7.03,16,0,,0,OK
Danilo,1064039,June 2023,2023-03-26,2023-05-28,Juventus,831,7.01,10,0,,0,OK
Vanderson,1090694,June 2023,2023-03-26,2023-05-28,Monaco,708,6.94,8,1,,1,OK
Alex Telles,312110,June 2023,2023-03-26,2023-05-28,Sevilla,409,6.52,9,16,6.5,1,OK
Ayrton Lucas,818473,June 2023,2023-03-26,2023-05-28,Flamengo,1334,6.84,17,164,6.4,2,OK
Ibañez,888949,June 2023,2023-03-26,2023-05-28,Roma,832,6.94,11,0,,0,OK
Éder Militão,822519,June 2023,2023-03-26,2023-05-28,Real Madrid,1305,7.11,15,180,7.15,2,OK
Marquinhos,155995,June 2023,2023-03-26,2023-05-28,PSG,718,7.09,8,180,6.75,2,OK
Nino,870788,June 2023,2023-03-26,2023-05-28,Fluminense,1429,7.29,16,0,,0,OK
André,1035996,June 2023,2023-03-26,2023-05-28,Fluminense,1365,7.12,16,16,6.5,1,OK
Bruno Guimarães,866469,June 2023,2023-03-26,2023-05-28,Newcastle,1060,7.27,12,115,6.75,2,OK
Casemiro,122951,June 2023,2023-03-26,2023-05-28,Manchester United,1087,7.35,12,90,6.1,1,OK
Joelinton,560128,June 2023,2023-03-26,2023-05-28,Newcastle,812,7.08,10,132,7,2,OK
Lucas Paquetá,839981,June 2023,2023-03-26,2023-05-28,West Ham,1126,7.04,14,139,7.25,2,OK
Raphael Veiga,840020,June 2023,2023-03-26,2023-05-28,Palmeiras,818,7.73,11,48,6.55,2,OK
Malcom,551772,June 2023,2023-03-26,2023-05-28,Zenit,619,8.03,7,65,7.3,2,OK
Pedro,840219,June 2023,2023-03-26,2023-05-28,Flamengo,945,7.16,14,44,6.6,2,OK
Richarlison,840217,June 2023,2023-03-26,2023-05-28,Tottenham,269,6.76,8,140,6.5,2,OK
Rodrygo,910536,June 2023,2023-03-26,2023-05-28,Real Madrid,1193,7.28,16,82,7.5,1,OK
Rony,835260,June 2023,2023-03-26,2023-05-28,Palmeiras,852,6.84,12,34,6.5,2,OK
Vinícius Júnior,868812,June 2023,2023-03-26,2023-05-28,Real Madrid,1065,7.24,13,179,6.9,2,OK
Alisson,243609,September 2023,2023-06-21,2023-08-18,Liverpool,344,7.1,5,0,,0,OK
Bento,1016104,September 2023,2023-06-21,2023-08-18,Athletico-PR,1170,6.95,13,0,,0,OK
Lucas Perri,871290,September 2023,2023-06-21,2023-08-18,Botafogo,990,7.49,11,0,,0,OK
Ederson,254491,September 2023,2023-06-21,2023-08-18,Manchester City,315,7.08,4,180,6.75,2,OK
Danilo,1064039,September 2023,2023-06-21,2023-08-18,Juventus,250,6.7,9,0,,0,OK
Vanderson,1090694,September 2023,2023-06-21,2023-08-18,Monaco,245,7.4,6,5,,1,OK
Caio Henrique,845170,September 2023,2023-06-21,2023-08-18,Monaco,269,6.97,8,19,6.6,1,OK
Renan Lodi,851150,September 2023,2023-06-21,2023-08-18,Olympique de Marselha,390,7.15,5,161,6.9,2,OK
Ibañez,888949,September 2023,2023-06-21,2023-08-18,Al-Ahli,333,6.9,5,13,6.6,1,OK
Gabriel Magalhães,869792,September 2023,2023-06-21,2023-08-18,Arsenal,427,6.61,7,174,7.2,2,OK
Marquinhos,155995,September 2023,2023-06-21,2023-08-18,PSG,235,6.83,6,180,7.25,2,OK
Nino,870788,September 2023,2023-06-21,2023-08-18,Fluminense,847,6.86,10,0,,0,OK
André,1035996,September 2023,2023-06-21,2023-08-18,Fluminense,810,7.17,9,0,,0,OK
Bruno Guimarães,866469,September 2023,2023-06-21,2023-08-18,Newcastle,85,6.7,5,156,7.55,2,OK
Casemiro,122951,September 2023,2023-06-21,2023-08-18,Manchester United,316,7.34,5,180,7.35,2,OK
Joelinton,560128,September 2023,2023-06-21,2023-08-18,Newcastle,90,7,4,24,6.3,2,OK
Raphael Veiga,840020,September 2023,2023-06-21,2023-08-18,Palmeiras,946,7.24,11,1,,1,OK
Antony,958380,September 2023,2023-06-21,2023-08-18,Manchester United,329,7.22,6,0,,0,OK
Gabriel Jesus,794839,September 2023,2023-06-21,2023-08-18,Arsenal,221,6.75,4,34,6.55,2,OK
Gabriel Martinelli,922573,September 2023,2023-06-21,2023-08-18,Arsenal,326,6.9,6,5,,1,OK
Matheus Cunha,886363,September 2023,2023-06-21,2023-08-18,Wolverhampton,77,7.2,6,19,6.7,1,OK
Neymar,124712,September 2023,2023-06-21,2023-08-18,Al-Hilal,90,9.8,1,179,8.65,2,OK
Richarlison,840217,September 2023,2023-06-21,2023-08-18,Tottenham,135,6.9,4,135,6.4,2,OK
Rodrygo,910536,September 2023,2023-06-21,2023-08-18,Real Madrid,296,6.94,5,179,8.2,2,OK
Vinícius Júnior,868812,September 2023,2023-06-21,2023-08-18,Real Madrid,364,7.24,5,0,,0,OK
Raphinha,831005,September 2023,2023-06-21,2023-08-18,Barcelona,178,6.72,5,175,8.05,2,OK
Alisson,243609,October 2023,2023-09-13,2023-09-23,Liverpool,90,6.4,1,0,,0,OK
Ederson,254491,October 2023,2023-09-13,2023-09-23,Manchester City,270,7.17,3,180,6.55,2,OK
Lucas Perri,871290,October 2023,2023-09-13,2023-09-23,Botafogo,135,6.85,2,0,,0,OK
Danilo,1064039,October 2023,2023-09-13,2023-09-23,Juventus,0,,0,0,,0,OK
Vanderson,1090694,October 2023,2023-09-13,2023-09-23,Monaco,156,7,2,0,,0,OK
Yan Couto,1002813,October 2023,2023-09-13,2023-09-23,Girona,180,7.15,2,121,6.6,2,OK
Caio Henrique,845170,October 2023,2023-09-13,2023-09-23,Monaco,172,7.6,2,0,,0,OK
Guilherme Arana,1127439,October 2023,2023-09-13,2023-09-23,Atlético-MG,180,7.45,2,107,6.7,2,OK
Renan Lodi,851150,October 2023,2023-09-13,2023-09-23,Olympique de Marselha,170,7,2,0,,0,OK
Carlos Augusto,929199,October 2023,2023-09-13,2023-09-23,Inter de Milão,116,6.8,2,73,6.5,1,OK
Bremer,885197,October 2023,2023-09-13,2023-09-23,Juventus,180,6.85,2,0,,0,OK
Marquinhos,155995,October 2023,2023-09-13,2023-09-23,PSG,90,7.7,1,180,6.85,2,OK
Gabriel Magalhães,869792,October 2023,2023-09-13,2023-09-23,Arsenal,180,7.1,2,180,7.35,2,OK
Nino,870788,October 2023,2023-09-13,2023-09-23,Fluminense,180,7.05,2,0,,0,OK
André,1035996,October 2023,2023-09-13,2023-09-23,Fluminense,180,6.85,2,11,6.3,1,OK
Casemiro,122951,October 2023,2023-09-13,2023-09-23,Manchester United,244,7.5,3,169,6.85,2,OK
Bruno Guimarães,866469,October 2023,2023-09-13,2023-09-23,Newcastle,180,6.6,2,163,6.8,2,OK
Gerson,611876,October 2023,2023-09-13,2023-09-23,Flamengo,263,6.87,3,11,6.7,1,OK
Raphael Veiga,840020,October 2023,2023-09-13,2023-09-23,Palmeiras,121,7.2,2,12,6.5,1,OK
Neymar,124712,October 2023,2023-09-13,2023-09-23,Al-Hilal,206,7.27,3,135,7.4,2,OK
Rodrygo,910536,October 2023,2023-09-13,2023-09-23,Real Madrid,177,6.8,2,180,7,2,OK
Vinícius Júnior,868812,October 2023,2023-09-13,2023-09-23,Real Madrid,0,,0,163,6.6,2,OK
Gabriel Jesus,794839,October 2023,2023-09-13,2023-09-23,Arsenal,93,6.7,2,121,6.9,2,OK
Richarlison,840217,October 2023,2023-09-13,2023-09-23,Tottenham,10,8.6,1,104,6.6,2,OK
Raphinha,831005,October 2023,2023-09-13,2023-09-23,Barcelona,112,7.57,3,0,,0,OK
David Neres,850993,October 2023,2023-09-13,2023-09-23,Benfica,34,6.55,2,17,6.5,1,OK
Matheus Cunha,886363,October 2023,2023-09-13,2023-09-23,Wolverhampton,132,6.8,2,23,6.5,2,OK
Alisson,243609,November 2023,2023-10-18,2023-11-06,Liverpool,270,7.27,3,180,7.45,2,OK
Ederson,254491,November 2023,2023-10-18,2023-11-06,Manchester City,270,7,3,0,,0,OK
Bento,1016104,November 2023,2023-10-18,2023-11-06,Athletico-PR,540,6.65,6,0,,0,OK
Lucas Perri,871290,November 2023,2023-10-18,2023-11-06,Botafogo,450,6.34,5,0,,0,OK
Emerson Royal,856123,November 2023,2023-10-18,2023-11-06,Tottenham,124,7,3,180,7.05,2,OK
Carlos Augusto,929199,November 2023,2023-10-18,2023-11-06,Inter de Milão,156,6.72,4,90,6.3,1,OK
Renan Lodi,851150,November 2023,2023-10-18,2023-11-06,Olympique de Marselha,270,7.1,4,81,6.1,1,OK
Bremer,885197,November 2023,2023-10-18,2023-11-06,Juventus,270,7.5,3,0,,0,OK
Gabriel Magalhães,869792,November 2023,2023-10-18,2023-11-06,Arsenal,360,6.92,4,154,6.45,2,OK
Nino,870788,November 2023,2023-10-18,2023-11-06,Fluminense,120,7.2,1,45,6.8,1,OK
Marquinhos,155995,November 2023,2023-10-18,2023-11-06,PSG,251,7.13,3,135,6.75,2,OK
André,1035996,November 2023,2023-10-18,2023-11-06,Fluminense,480,7.2,5,180,7.15,2,OK
Bruno Guimarães,866469,November 2023,2023-10-18,2023-11-06,Newcastle,365,7.12,5,168,7,2,OK
Douglas Luiz,867887,November 2023,2023-10-18,2023-11-06,Aston Villa,334,7.65,4,20,6.55,2,OK
Joelinton,560128,November 2023,2023-10-18,2023-11-06,Newcastle,415,7.02,5,9,5.8,1,OK
Raphael Veiga,840020,November 2023,2023-10-18,2023-11-06,Palmeiras,479,7.38,6,12,6.8,1,OK
Rodrygo,910536,November 2023,2023-10-18,2023-11-06,Real Madrid,232,6.68,4,159,6.7,2,OK
Endrick,1174937,November 2023,2023-10-18,2023-11-06,Palmeiras,388,7.36,5,26,6.55,2,OK
Gabriel Jesus,794839,November 2023,2023-10-18,2023-11-06,Arsenal,149,7.6,2,90,6.4,1,OK
Gabriel Martinelli,922573,November 2023,2023-10-18,2023-11-06,Arsenal,347,7.38,5,168,7.1,2,OK
João Pedro,975079,November 2023,2023-10-18,2023-11-06,Brighton,197,6.6,4,63,6.8,1,OK
Paulinho,885179,November 2023,2023-10-18,2023-11-06,Atlético-MG,523,7.47,6,21,6.6,1,OK
Pepê,882664,November 2023,2023-10-18,2023-11-06,Porto,263,7.2,4,9,6.5,1,OK
Raphinha,831005,November 2023,2023-10-18,2023-11-06,Barcelona,34,7.05,2,154,6.95,2,OK
Vinícius Júnior,868812,November 2023,2023-10-18,2023-11-06,Real Madrid,357,6.9,4,27,7.2,1,OK
Bento,1016104,March 2024,2023-11-22,2024-03-11,Athletico-PR,1260,7.31,14,180,7.45,2,OK
Ederson,254491,March 2024,2023-11-22,2024-03-11,Manchester City,1684,6.95,20,0,,0,OK
Léo Jardim,595598,March 2024,2023-11-22,2024-03-11,Vasco da Gama,1530,7.14,17,0,,0,OK
Rafael,33132,March 2024,2023-11-22,2024-03-11,São Paulo,1440,7.11,16,0,,0,OK
Danilo,1064039,March 2024,2023-11-22,2024-03-11,Juventus,1292,6.94,20,0,,0,OK
Yan Couto,1002813,March 2024,2023-11-22,2024-03-11,Girona,1192,7.08,18,45,6.7,1,OK
Ayrton Lucas,818473,March 2024,2023-11-22,2024-03-11,Flamengo,1010,7.13,14,0,,0,OK
